Antibiotics	Mechansims	ARGs subtype	C7	LP7	HP7	C15	LP15	HP15	C25	LP25	HP25	C40	LP40	HP40
Multidrug 	Efflux pump	oprJ	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.31E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Multidrug 	Efflux pump	qacEdelta1-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.53E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Multidrug 	Efflux pump	qacEdelta1-02	2.54E-04	0.00E+00	2.69E-04	0.00E+00	7.60E-04	4.39E-04	5.43E-05	0.00E+00	5.64E-05	7.07E-04	3.45E-05	0.00E+00
Multidrug 	Efflux pump	qacH-01	2.04E-05	3.48E-05	1.79E-05	6.13E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.40E-05	1.22E-05
Multidrug 	Efflux pump	qacH-02	0.00E+00	1.20E-05	2.61E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sulfonamides	Antibiotic deactivate	dfrA1	2.78E-05	0.00E+00	1.26E-05	0.00E+00	9.56E-05	7.06E-05	8.33E-05	1.22E-05	1.29E-04	0.00E+00	0.00E+00	0.00E+00
Sulfonamides	Cellular protection	sul2	0.00E+00	1.63E-04	6.56E-05	0.00E+00	1.98E-03	3.20E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.45E-05	0.00E+00
Sulfonamides	Cellular protection	sulA/folP-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.27E-05	1.94E-05
Tetracyclines	Efflux pump	tetA-02	0.00E+00	2.05E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Tetracyclines	Efflux pump	tetG-01	0.00E+00	0.00E+00	6.09E-05	0.00E+00	4.25E-05	1.08E-05	0.00E+00	0.00E+00	5.56E-05	0.00E+00	0.00E+00	0.00E+00
Tetracyclines	Efflux pump	tetG-02	0.00E+00	0.00E+00	2.88E-05	0.00E+00	8.06E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Tetracyclines	Unknown	tet(34)	0.00E+00	2.75E-05	9.45E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.41E-05	2.12E-05
Tetracyclines	Unknown	tet(35)	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.22E-06	0.00E+00	0.00E+00	6.27E-06	0.00E+00	0.00E+00	0.00E+00
Vancomycin	Cellular protection	vanSB	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.55E-06	1.06E-05
MGEs	Integrase	intI-1(clinic)	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.08E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
MGEs	Transposase	tnpA-04	1.30E-03	0.00E+00	2.39E-05	2.87E-04	1.40E-04	2.74E-04	2.73E-03	1.82E-05	4.67E-04	8.93E-04	3.24E-05	1.47E-05
MGEs	Transposase	tnpA-05	5.17E-05	1.15E-05	3.97E-05	1.13E-04	1.49E-05	3.56E-05	3.09E-05	2.48E-05	1.09E-03	1.10E-05	0.00E+00	3.30E-05
MGEs	Transposase	tnpA-07	4.82E-05	0.00E+00	1.65E-05	7.81E-05	7.59E-05	2.87E-05	6.64E-05	2.25E-05	2.56E-06	0.00E+00	0.00E+00	0.00E+00
