XXX	LP7	HP7	LP15	HP15	LP25	HP25	LP40	HP40
Synechococcus	12	19	9	12	7	7	7	3
Algibacter	9	8	13	5	5	9	19	7
Mariprofundus	10	5	10	7	14	10	10	9
Sunxiuqinia	11	13	6	6	12	5	15	7
OPB35_soil_group_norank	8	31	6	4	16	2	1	6
Flexithrix	9	10	10	2	5	10	18	9
Alphaproteobacteria_unclassified	9	8	8	6	12	3	14	11
Dethiosulfatibacter	9	13	3	8	5	16	12	3
Porticoccus	9	8	9	8	7	4	15	9
Draconibacteriaceae_uncultured	7	9	12	8	11	10	4	6
Geopsychrobacter	2	14	5	17	8	4	6	10
Pelolinea	9	7	9	5	6	9	13	8
Halomonas	7	9	5	8	7	2	10	17
JG30-KF-CM66_norank	5	4	7	8	12	10	10	9
Peredibacter	10	10	7	6	13	10	5	4
Amphritea	10	10	11	9	7	3	7	7
Eel-36e1D6_norank	6	11	11	7	6	5	11	7
SAR202_clade_norank	2	3	10	6	14	11	6	12
Spirochaetaceae_uncultured	4	3	7	19	10	6	7	8
I-8	5	7	9	4	16	4	8	10
JTB23_norank	10	7	13	11	4	5	4	9
Armatimonadetes_norank	2	2	4	9	8	15	7	14
Ralstonia	5	10	2	14	9	8	4	9
SPOTSOCT00m83_norank	9	8	9	12	10	5	5	3
43F-1404R_norank	5	12	5	7	9	10	6	6
Kazan-3B-09_norank	6	0	11	10	5	4	10	14
Saccharibacteria_norank	13	11	6	5	6	6	5	8
pItb-vmat-80_norank	8	8	6	5	11	5	5	11
Defluviicoccus	2	5	7	10	7	14	6	7
Desulfonema	16	17	6	9	1	7	1	1
Unknown_Family_unclassified	3	9	12	11	6	3	3	11
09D2Z46_norank	6	2	11	8	13	8	7	2
Clostridiales_unclassified	14	11	10	6	3	8	1	4
Cryomorphaceae_uncultured	7	3	7	8	10	4	9	8
KF-JG30-B3_norank	6	9	5	6	6	8	9	7
Xanthomonadales_unclassified	7	10	7	8	3	7	3	9
Desulfovibrio	7	11	8	10	6	5	1	5
Cerasicoccus	6	10	8	2	6	6	8	6
JL-ETNP-Z39_norank	4	11	5	8	5	10	4	5
Subgroup_17_norank	9	7	5	10	3	3	11	4
Fibrobacteraceae_uncultured	3	3	11	8	8	6	7	4
Halobacteriovorax	6	9	7	8	3	8	5	4
Illumatobacter	5	3	4	2	7	7	14	8
Salegentibacter	5	7	5	7	2	12	7	5
Acidimicrobiales_uncultured	8	12	2	7	4	3	8	5
Subgroup_3_unclassified	4	5	5	9	9	4	7	6
AT-s3-28_norank	7	10	4	2	3	6	8	8
KCLunmb-38-53_norank	1	2	4	9	6	5	6	15
PHOS-HE51_norank	6	7	7	9	4	9	1	5
Planctomycetaceae_uncultured	8	9	7	3	3	9	3	6
T9d_norank	2	3	4	3	10	4	12	10
Rhizobiales_unclassified	5	7	8	4	6	6	5	6
Parvularcula	8	10	6	3	5	6	5	3
LD1-PB3_norank	10	11	8	6	3	2	4	1
Lineage_IIb_norank	3	4	9	6	5	8	9	1
Cellvibrionales_unclassified	5	6	7	7	6	4	6	3
Desulfotignum	4	10	8	7	3	1	8	3
Bacteriovoracaceae_uncultured	0	5	9	6	5	6	8	4
CA002_norank	3	7	8	7	5	5	6	1
Coxiella	6	4	8	5	4	7	4	4
E01-9C-26_marine_group_norank	2	6	2	8	2	7	8	7
DUNssu044_norank	8	9	7	1	4	3	2	7
NS11-12_marine_group_norank	8	9	1	3	5	8	2	5
Phycisphaeraceae_unclassified	4	5	9	3	9	2	8	1
Photobacterium	4	5	9	5	5	3	6	2
Winogradskyella	1	2	2	13	2	12	2	5
Desulfuromonas	7	6	5	2	4	10	3	1
Ferrimonas	5	6	5	8	1	2	7	4
Opitutaceae_unclassified	5	3	4	3	8	1	10	4
Idiomarina	0	1	1	2	1	1	0	31
LCP-89_norank	2	2	4	2	6	6	4	10
Oceanococcus	11	10	2	4	2	1	1	5
SS1-B-03-39_norank	5	12	1	3	3	8	4	0
Sneathiella	3	2	4	3	2	5	6	11
Aeromonadaceae_uncultured	7	6	7	8	1	0	4	1
KD4-96_norank	1	5	4	5	2	7	3	7
Peptostreptococcaceae_unclassified	5	12	3	2	2	1	3	6
possible_order_07_norank	4	7	2	10	2	2	2	5
Erythrobacteraceae_unclassified	4	6	5	2	7	6	1	2
028H05-P-BN-P5_norank	1	5	6	4	7	2	4	3
Desulfatirhabdium	1	4	7	3	3	3	5	5
Lentimonas	2	7	2	9	4	3	2	2
Magnetovibrio	8	1	1	7	5	5	2	2
PeM15_norank	6	9	4	2	2	3	3	2
Phycisphaera	3	1	5	3	5	5	5	4
Propionibacteriaceae_uncultured	6	6	3	3	5	4	3	1
Crocinitomix	5	5	2	3	6	1	5	3
Salinirepens	5	5	4	1	4	0	6	5
ABS-19_norank	0	4	6	5	1	8	2	3
S26-47_norank	2	2	2	2	6	7	1	7
Thiohalophilus	2	7	1	6	3	2	2	6
E6aC02_norank	3	1	3	5	4	3	5	4
Oligoflexaceae_norank	1	7	3	6	4	3	1	3
Pla1_lineage_norank	6	3	4	3	5	3	2	2
Pseudomonas	0	0	1	9	2	7	2	7
JTB215_norank	6	11	1	6	0	2	0	1
Methylotenera	3	3	3	4	4	3	5	2
Thioprofundum	3	5	3	5	3	2	1	5
PYR10d3_norank	1	0	4	2	8	4	3	4
Roseobacter_clade_NAC11-7_lineage	5	2	3	3	6	3	3	1
Cellvibrionaceae_unclassified	2	3	11	1	3	3	2	0
Desulfopila	1	4	8	2	3	2	4	1
Erythrobacter	4	7	3	1	4	2	2	2
Gemmatimonadaceae_uncultured	2	2	2	4	3	3	3	6
Microbulbifer	4	4	2	4	2	6	1	2
S0134_terrestrial_group_norank	3	4	2	4	4	3	4	1
SS1-B-06-26_norank	6	1	6	2	4	2	3	1
Altererythrobacter	2	1	4	2	3	7	3	2
EF100-94H03_norank	3	1	3	4	2	3	7	1
LH041_norank	2	2	0	8	2	2	2	6
Lachnospiraceae_unclassified	5	7	3	4	1	1	1	2
Thalassospira	8	3	6	2	2	1	2	0
V2072-189E03_norank	2	4	2	5	3	4	2	2
Aerophobetes_norank	3	5	4	5	1	2	2	1
Colwellia	2	5	3	3	2	2	3	3
Pseudenhygromyxa	1	4	2	6	0	2	5	3
Ruminococcaceae_uncultured	1	2	2	3	0	5	4	6
Acanthopleuribacter	3	7	1	4	2	3	0	2
Piscirickettsiaceae_unclassified	13	7	2	0	0	0	0	0
TA18_norank	2	0	5	6	1	4	1	3
Actinobacteria_unclassified	1	3	2	4	6	1	1	3
Desulfofrigus	2	6	3	1	4	3	1	1
Fusobacterium	2	7	1	9	0	0	2	0
Tepidamorphus	9	2	3	0	0	2	2	3
Chloroflexi_uncultured	4	3	1	3	1	2	5	1
Leptotrichiaceae_uncultured	4	4	4	4	2	1	1	0
Oceanospirillum	11	6	1	2	0	0	0	0
Temperatibacter	5	1	4	3	1	2	3	1
Exilispira	0	0	1	0	1	2	7	8
Gynuella	0	4	2	2	3	4	2	2
Magnetospira	1	1	5	3	6	1	1	1
Pseudoalteromonas	3	6	3	3	1	1	0	2
Lineage_IV_norank	2	3	2	4	2	1	2	2
MSB-1E8_norank	4	3	3	2	3	0	1	2
Malonomonas	0	0	6	5	2	1	1	3
Order_III_uncultured	4	2	1	0	3	2	3	3
Sulfurimonas	4	7	2	1	1	0	2	1
Sulfurovum	3	8	2	1	0	2	1	1
VHS-B3-70_norank	5	1	1	4	3	1	1	2
Coriobacteriaceae_uncultured	6	2	2	3	2	0	0	2
Desulfarculaceae_uncultured	2	3	1	2	2	2	3	2
Family_XI_unclassified	3	11	0	1	1	0	0	1
Lentisphaerae_unclassified	0	4	2	1	2	3	2	3
Lineage_IIa_norank	3	0	0	2	5	4	2	1
MD2894-B20_norank	3	1	2	6	3	1	0	1
ML-A-10_norank	4	0	1	2	1	2	1	6
Saccharicrinis	5	2	2	0	2	1	3	2
Kangiella	3	1	3	1	2	3	0	3
SB-5_norank	0	0	2	2	2	5	2	3
SBYC-2600_norank	1	1	4	4	3	1	1	1
SPG12-401-411-B72_norank	0	0	2	3	6	2	3	0
AKAU3564_sediment_group_norank	1	0	0	6	2	1	2	3
Anaerolineaceae_UCG-001	1	3	0	3	1	3	1	3
Arenibacter	1	2	1	5	0	2	4	0
Firmicutes_unclassified	1	1	2	4	1	1	2	3
Loktanella	1	2	1	3	2	4	1	1
Nannocystis	5	3	1	2	2	1	0	1
Psychromonas	0	3	2	2	1	3	2	2
vadinBA26_norank	2	0	1	5	1	2	0	4
Cryomorpha	0	1	2	3	2	3	3	0
Dehalococcoidia_unclassified	0	0	0	0	2	1	6	5
Escherichia-Shigella	0	3	0	3	0	4	1	3
Microgenomates_norank	0	0	1	2	0	4	4	3
Moritella	0	2	3	4	2	0	2	1
Nitrosomonadaceae_unclassified	2	2	2	3	0	1	3	1
PL-11B10_norank	1	1	6	4	2	0	0	0
Phaselicystis	3	7	2	1	0	1	0	0
d142_norank	0	3	2	2	1	1	3	2
34P16_norank	1	1	4	0	3	2	0	2
Aureispira	5	2	2	2	0	2	0	0
Dichotomicrobium	0	1	2	1	0	4	3	2
Mollicutes_unclassified	2	1	3	3	1	1	2	0
Thalassotalea	5	6	1	0	0	0	1	0
WCHB1-60_norank	0	0	2	0	3	4	2	2
Zeaxanthinibacter	0	1	1	3	4	1	2	1
Fulvivirga	6	0	3	1	0	1	1	0
Luteivirga	3	2	0	3	1	0	2	1
Methyloceanibacter	2	3	3	0	0	2	0	2
PHOS-HE36_norank	0	1	1	1	3	1	3	2
Sandaracinus	1	1	2	3	0	1	2	2
Spirochaetaceae_unclassified	1	0	0	1	6	2	2	0
Spongiibacteraceae_uncultured	2	2	3	1	1	1	2	0
Subgroup_18_norank	1	0	1	0	1	3	1	5
Syntrophobacteraceae_uncultured	0	2	5	1	2	0	0	2
Balneola	2	1	0	0	0	1	0	7
Blastopirellula	4	4	0	0	1	0	1	1
Boseongicola	2	0	2	1	0	5	0	1
Caldilineaceae_uncultured	5	2	1	0	2	1	0	0
Colwelliaceae_uncultured	0	2	1	1	2	2	0	3
DTB120_norank	1	2	0	3	0	1	2	2
MgMjR-022_norank	1	4	0	3	1	1	0	1
NKB5_norank	0	3	2	0	3	2	0	1
Nannocystaceae_unclassified	2	1	2	1	2	2	0	1
Neiella	4	1	2	1	2	1	0	0
Oligoflexales_norank	2	1	2	0	3	1	1	1
Planctomycetacia_unclassified	0	1	2	0	0	2	2	4
Seonamhaeicola	3	0	1	1	1	3	2	0
Sphaerochaeta	2	5	0	4	0	0	0	0
mle1-8_norank	2	2	2	0	1	1	2	1
Alteromonadaceae_unclassified	5	2	0	1	1	0	1	0
Anaeromyxobacter	0	1	2	3	0	2	0	2
Diplosphaera	3	2	1	2	0	0	1	1
Endozoicomonas	2	2	1	4	0	1	0	0
Fibrobacterales_unclassified	2	0	2	5	0	0	1	0
Filomicrobium	0	2	2	2	1	1	0	2
Gaiellales_uncultured	1	2	0	2	1	3	1	0
ODP1230B30.09_norank	0	2	0	1	2	1	2	2
Peptococcaceae_norank	0	3	0	4	1	1	0	1
Psychrilyobacter	2	2	3	2	1	0	0	0
S085_norank	0	3	1	2	1	1	1	1
Sphingomonadales_unclassified	1	5	0	1	1	2	0	0
Thermotomaculum	0	2	1	3	0	0	1	3
08D2Z94_hypersaline_microbial_mat_group_norank	2	1	0	1	2	1	0	2
Anderseniella	1	4	1	1	1	1	0	0
Candidatus_Alysiosphaera	1	0	1	1	3	1	1	1
Cloacimonetes_unclassified	0	1	1	2	0	0	1	4
Desulfurivibrio	1	2	2	2	1	1	0	0
Eudoraea	1	1	1	0	1	0	4	1
FGL12-B44_norank	0	1	2	1	3	1	0	1
Granulosicoccus	3	0	0	1	1	2	1	1
Kordiimonas	1	2	0	1	2	2	1	0
Luminiphilus	0	4	1	1	0	1	0	2
Marmoricola	3	1	0	0	3	0	0	2
NS5_marine_group	2	1	1	0	2	0	1	2
P._palm_C-A_51_norank	1	1	1	2	1	0	1	2
Rubripirellula	1	4	1	1	0	1	1	0
SEEP-SRB1	0	1	0	3	1	2	1	1
TK10_norank	0	3	4	0	1	0	1	0
Turneriella	2	3	1	2	0	1	0	0
WCHB1-41_norank	0	5	0	1	0	1	1	1
CL500-3	0	1	1	2	1	1	1	1
Desulfarculus	2	2	0	2	0	2	0	0
Gilvibacter	2	4	0	2	0	0	0	0
Labrenzia	1	1	1	0	1	4	0	0
Lineage_I_Endomicrobia_norank	1	2	1	2	1	0	0	1
NS72_norank	0	2	0	1	1	1	0	3
NS9_marine_group_norank	1	1	0	0	2	1	0	3
Thiohalomonas	0	0	2	2	1	0	1	2
Xanthomonadaceae_uncultured	2	1	2	1	1	0	0	1
marine_group	3	1	0	1	2	0	1	0
AT-s3-44_norank	1	1	2	0	0	2	1	0
Alterococcus	1	1	0	2	1	1	1	0
Colwelliaceae_unclassified	4	3	0	0	0	0	0	0
Ectothiorhodospiraceae_norank	3	0	1	0	0	1	1	1
Ekhidna	3	1	1	2	0	0	0	0
Family_XIII_norank	1	1	0	2	1	0	0	2
HOC36_norank	1	0	0	0	3	1	0	2
Longilinea	2	2	1	1	1	0	0	0
MSBL8_norank	1	0	1	0	1	2	0	2
Maritimimonas	1	2	0	1	2	1	0	0
Spongiibacteraceae_unclassified	0	1	1	0	1	0	2	2
Tistrella	0	1	1	0	1	0	2	2
AKYG1722_norank	0	4	1	1	0	0	0	0
Cellvibrionaceae_uncultured	0	0	1	0	0	4	0	1
Defluviitaleaceae_UCG-011	1	1	1	2	0	1	0	0
FD035_norank	0	0	2	2	0	0	1	1
Gangjinia	3	1	0	0	1	1	0	0
Lysobacter	2	0	0	2	1	0	0	1
Marinilabiaceae_unclassified	0	4	0	1	0	1	0	0
Marinomonas	0	2	4	0	0	0	0	0
Myroides	3	1	1	1	0	0	0	0
Oleibacter	1	4	1	0	0	0	0	0
Paraglaciecola	1	1	1	0	0	0	1	2
Pirellula	0	5	0	0	0	0	0	1
Ruminococcaceae_unclassified	0	1	0	3	0	0	0	2
Sphingorhabdus	0	0	0	2	1	0	2	1
Subgroup_9_norank	1	0	1	1	1	0	1	1
4-Org1-14_norank	0	0	0	1	0	2	1	1
Acinetobacter	0	1	0	0	1	0	2	1
Betaproteobacteria_unclassified	2	0	1	0	0	2	0	0
Candidatus_Acetothermus	0	0	4	0	0	0	0	1
Desulfobacterium	0	0	0	0	1	0	0	4
EC3_norank	2	1	0	0	1	0	0	1
Elusimicrobia_unclassified	0	0	2	1	0	0	2	0
Erysipelotrichaceae_unclassified	0	3	1	1	0	0	0	0
Flavobacterium	0	2	1	0	0	2	0	0
Hyd24-12_norank	0	0	0	0	0	1	1	3
Levilinea	0	0	0	0	0	1	2	2
Methylococcaceae_unclassified	0	0	0	3	0	1	0	1
NS7_marine_group_norank	2	0	1	0	1	1	0	0
Peptococcaceae_uncultured	0	2	1	0	0	0	1	1
Psychrosphaera	0	0	0	0	1	4	0	0
Rhodanobacter	0	0	0	0	0	0	0	5
Rhodospirillales_unclassified	0	0	0	0	0	2	1	2
Rickettsiaceae_unclassified	0	0	0	1	1	0	3	0
Rickettsiales_unclassified	0	0	0	0	0	0	3	2
Sva0071_norank	0	1	1	0	0	0	2	1
TK85_norank	1	1	0	1	0	2	0	0
TPD-58_norank	0	0	1	0	2	0	1	1
Xanthobacteraceae_unclassified	0	1	0	1	0	1	2	0
Acidobacteria_unclassified	2	0	1	1	0	0	0	0
Actinobacteria_norank	0	2	0	1	0	0	1	0
Candidatus_Omnitrophus	0	1	1	1	0	0	0	1
Glaciecola	0	1	0	0	1	1	1	0
NS3a_marine_group	0	2	1	1	0	0	0	0
Oceanimonas	1	0	1	1	1	0	0	0
Planococcaceae_unclassified	1	1	0	0	1	0	0	1
Porphyromonadaceae_uncultured	0	4	0	0	0	0	0	0
Pseudomaricurvus	1	1	1	0	1	0	0	0
Ruminococcaceae_UCG-012	0	2	1	0	0	0	1	0
